,Location,acq_date,count,latitude,longitude,brightness,bright_t31,confidence
79,GoldCoast,28/07/2016,1,-27.8542,153.2813,309.4,295.1,64.0
80,Melbourne,10/03/2015,1,-37.7422,144.8461,320.7,298.6,75.0
81,Melbourne,13/11/2015,1,-37.7146,144.8691,315.2,299.4,60.0
82,Melbourne,15/10/2015,1,-37.6929,145.0348,313.4,300.0,37.0
83,Melbourne,16/01/2015,1,-37.9455,145.075,314.7,299.0,49.0
84,Melbourne,18/01/2017,1,-37.7501,145.0245,318.9,303.4,60.0
85,Melbourne,25/12/2017,1,-37.7084,145.0999,327.8,305.9,80.0
86,Melbourne,4/01/2015,2,-37.8823,144.9466,320.1,304.55,41.0
87,Mildura,13/05/2015,1,-34.2235,142.1257,300.7,285.0,40.0
88,Mildura,8/10/2015,1,-34.2565,142.1206,315.8,301.6,37.0
89,Moree,1/03/2016,1,-29.0939,149.6051,327.6,300.0,60.0
90,Moree,1/06/2015,1,-28.9079,149.9734,300.9,289.2,18.0
91,Moree,1/10/2016,1,-29.3862,150.1065,301.9,290.6,25.0
92,Moree,10/08/2015,1,-29.5765,149.5494,307.8,297.5,39.0
93,Moree,11/02/2015,1,-29.2242,150.1917,306.5,292.9,68.0
94,Moree,11/04/2015,1,-29.5146,149.9605,312.5,297.3,42.0
95,Moree,12/02/2016,1,-29.2752,149.5287,335.4,316.1,72.0
96,Moree,12/05/2016,1,-29.2045,149.8462,307.8,294.6,59.0
97,Moree,13/02/2015,1,-29.1713,149.6264,331.7,307.2,52.0
98,Moree,14/01/2016,1,-29.5629,149.7936,304.3,293.6,59.0
99,Moree,14/04/2016,1,-29.1319,149.8648,326.0,308.3,75.0
100,Moree,14/08/2015,1,-29.1512,149.3443,312.2,296.4,70.0
101,Moree,14/12/2015,1,-29.0159,150.13,336.9,308.2,81.0
102,Moree,15/01/2016,1,-28.9297,150.0695,344.8,297.2,67.0
103,Moree,15/06/2015,1,-29.6898,149.8999,309.3,294.4,68.0
104,Moree,15/08/2015,1,-29.1545,149.3511,316.0,302.3,71.0
105,Moree,15/09/2015,1,-29.4474,149.9361,327.9,300.4,82.0
106,Moree,16/01/2015,1,-29.0329,149.5063,305.8,292.0,66.0
107,Moree,16/03/2016,1,-29.0851,149.8057,305.7,290.7,47.0
108,Moree,17/02/2016,1,-29.5687,150.1148,336.7,321.2,81.0
109,Moree,17/04/2016,1,-29.162,149.6517,323.8,301.5,74.0
110,Moree,18/01/2015,1,-29.3667,149.5169,336.9,319.1,77.0
111,Moree,18/05/2015,1,-29.5854,150.2267,318.2,298.5,74.0
112,Moree,18/10/2015,1,-29.4743,149.8119,333.4,309.9,79.0
113,Moree,19/01/2015,1,-29.5871,149.5527,306.8,295.9,69.0
114,Moree,19/04/2017,1,-29.0013,149.845,347.5,302.8,88.0
115,Moree,19/08/2015,1,-29.458000000000002,149.9387,310.0,293.4,38.0
116,Moree,20/03/2016,1,-29.6838,150.2263,324.2,310.3,34.0
117,Moree,20/05/2016,2,-29.23005,149.83575000000002,326.9,303.35,79.0
118,Moree,20/09/2015,1,-29.0568,150.2382,314.2,283.6,89.0
119,Moree,20/11/2016,2,-29.523200000000003,149.4456,364.75,314.45000000000005,91.5
120,Moree,21/12/2015,1,-28.9164,149.8914,306.7,294.0,69.0
121,Moree,22/03/2016,1,-29.3658,150.2227,333.7,306.0,82.0
122,Moree,22/05/2016,1,-28.9695,149.9956,313.9,297.0,61.0
123,Moree,22/09/2015,1,-29.627,149.8765,311.2,295.6,58.0
124,Moree,23/01/2016,1,-29.3468,149.4161,303.5,292.6,56.0
125,Moree,23/03/2016,1,-29.5546,149.9724,322.5,300.0,30.0
126,Moree,24/03/2016,1,-29.358,150.0014,338.5,310.8,62.0
127,Moree,25/03/2015,1,-29.3623,149.5816,320.5,305.8,64.0
128,Moree,25/05/2016,1,-29.3071,149.8164,311.3,298.9,61.0
129,Moree,26/01/2016,1,-29.3516,149.4217,305.0,289.2,62.0
130,Moree,26/04/2016,1,-28.9845,149.3651,320.9,302.6,71.0
131,Moree,27/04/2016,1,-28.9807,149.8835,318.3,300.2,66.0
132,Moree,28/07/2016,2,-29.515099999999997,149.651,312.20000000000005,295.2,67.5
133,Moree,29/02/2016,2,-29.0479,149.7201,330.9,310.54999999999995,72.0
134,Moree,29/03/2016,3,-29.252433333333332,150.04343333333335,368.8666666666666,302.7,95.0
135,Moree,3/03/2016,1,-29.5432,150.1057,327.9,303.9,74.0
136,Moree,4/04/2017,1,-29.6459,149.3588,323.1,303.9,76.0
137,Moree,5/04/2016,1,-28.9855,150.2062,326.1,311.3,72.0
138,Moree,6/02/2015,1,-29.2085,149.5305,319.7,294.6,99.0
139,Moree,6/02/2016,1,-29.3653,149.6768,327.7,292.3,79.0
140,Moree,6/05/2015,1,-29.4681,150.2125,300.0,281.4,11.0
141,Moree,6/06/2017,1,-29.2214,150.1048,303.7,293.1,52.0
142,Moree,7/04/2016,1,-29.3494,149.8731,326.7,304.3,75.0
143,Moree,7/05/2016,1,-29.6945,149.7085,328.8,303.2,82.0
144,Moree,7/06/2017,1,-29.653000000000002,149.3166,323.6,290.1,82.0
145,Moree,7/08/2017,1,-29.429000000000002,149.7551,307.3,295.1,56.0
146,Moree,8/03/2016,2,-29.426299999999998,149.63445000000002,337.35,315.25,66.5
147,Moree,8/04/2016,1,-29.2454,149.9375,333.1,298.0,77.0
148,Moree,8/09/2015,1,-28.9715,149.6246,305.5,295.3,38.0
149,Moree,8/12/2015,1,-29.6871,149.6016,333.3,311.3,75.0
150,Moree,9/02/2016,1,-28.9238,149.6745,328.3,304.6,76.0
151,Moree,9/09/2015,1,-29.1394,149.4838,314.8,296.9,70.0
152,MountGambier,19/11/2016,1,-37.8227,140.7664,310.3,296.8,21.0
153,Newcastle,1/03/2016,1,-32.8938,151.6336,331.5,301.6,84.0
154,Newcastle,16/09/2015,1,-32.9957,151.6798,308.9,297.9,58.0
155,Newcastle,17/03/2015,1,-32.7685,151.9124,304.8,287.2,62.0
156,Newcastle,18/01/2015,1,-32.8099,151.6348,315.8,299.6,40.0
157,Newcastle,19/12/2015,1,-32.7905,151.8188,302.4,291.6,49.0
158,Newcastle,27/05/2017,1,-32.9331,151.6773,309.5,290.6,69.0
159,Newcastle,4/01/2015,1,-32.8259,151.7227,321.4,306.5,0.0
160,Penrith,4/08/2015,1,-33.7425,150.6991,300.8,289.0,40.0
161,Perth,1/01/2015,4,-31.927625,115.90225,325.07500000000005,307.45,46.75
162,Perth,10/01/2015,1,-32.0372,115.9997,318.3,303.6,28.0
163,Perth,13/01/2016,1,-32.0823,115.9542,328.6,308.4,82.0
164,Perth,3/01/2015,1,-31.8656,115.8055,319.6,302.3,20.0
165,Richmond,1/01/2015,1,-20.5424,143.615,330.8,304.0,28.0
166,Richmond,1/02/2016,1,-20.6629,143.5919,326.4,297.6,0.0
167,Richmond,11/12/2015,1,-19.9983,142.4251,345.3,307.1,88.0
168,Richmond,11/12/2017,1,-19.9026,143.5535,344.4,316.4,87.0
169,Richmond,12/02/2017,1,-20.0888,143.0689,333.6,308.2,82.0
170,Richmond,12/11/2015,1,-19.6604,143.0311,317.6,296.5,95.0
171,Richmond,12/12/2017,1,-19.5003,143.1595,332.6,311.5,47.0
172,Richmond,13/11/2015,2,-20.03235,143.05115,337.65,306.5,84.0
173,Richmond,13/12/2015,4,-19.5505,142.43355000000003,310.9,289.04999999999995,72.25
