,latitude,longitude,latlong,city
534048,-26.5725,132.8014,"-27.0, 133.0",Anangu Pitjantjatjara Yankunytjatjara
545668,-24.0607,135.5644,"-24.0, 136.0",Northern Territory
561209,-30.2991,144.0264,"-30.0, 144.0",
577308,-32.0841,126.7532,"-32.0, 127.0",Shire Of Dundas
587548,-22.9644,135.2637,"-23.0, 135.0",Northern Territory
589710,-30.5016,126.994,"-31.0, 127.0",City Of Kalgoorlie-Boulder
592716,-23.4285,135.5789,"-23.0, 136.0",Northern Territory
602997,-27.2276,144.2738,"-27.0, 144.0",Quilpie Shire
626703,-28.2554,131.0623,"-28.0, 131.0",Anangu Pitjantjatjara Yankunytjatjara
628493,-25.5904,132.5843,"-26.0, 133.0",Anangu Pitjantjatjara Yankunytjatjara
629635,-26.4192,135.4838,"-26.0, 135.0",Crown Point
630581,-28.5985,142.6027,"-29.0, 143.0",
634381,-32.6423,125.1732,"-33.0, 125.0",
635000,-25.4014,133.5028,"-25.0, 134.0",Northern Territory
649310,-25.4759,140.2284,"-25.0, 140.0",Diamantina Shire
659932,-30.2649,126.1103,"-30.0, 126.0",Shire Of Menzies
661346,-29.4988,131.4937,"-29.0, 131.0",
661351,-30.1732,132.5465,"-30.0, 133.0",
662369,-30.1618,132.4649,"-30.0, 132.0",
