,latitude,longitude,latlong,city
12215,-20.2464,130.5006,"-20.0, 131.0",Northern Territory
12217,-20.7176,128.9535,"-21.0, 129.0",Shire Of Halls Creek
12332,-17.7063,127.3403,"-18.0, 127.0",Shire Of Halls Creek
12373,-14.0936,131.3885,"-14.0, 131.0",Northern Territory
12452,-32.8158,142.7009,"-33.0, 143.0",Wentworth Shire Council
12696,-35.2693,141.9064,"-35.0, 142.0",Rural City of Mildura
12844,-29.3224,115.7116,"-29.0, 116.0",Shire Of Morawa
12852,-23.2977,129.2313,"-23.0, 129.0",Shire Of East Pilbara
12855,-20.4911,125.6522,"-20.0, 126.0",Shire Of East Pilbara
12916,-37.6469,149.5583,"-38.0, 150.0",
13058,-28.4977,115.76,"-28.0, 116.0",Shire Of Murchison
13186,-34.0995,135.4385,"-34.0, 135.0",
13489,-16.6545,137.6865,"-17.0, 138.0",Northern Territory
13559,-41.3279,146.2119,"-41.0, 146.0",
13575,-35.5627,139.6779,"-36.0, 140.0",
13693,-35.0008,137.5397,"-35.0, 138.0",
13703,-32.4782,123.5276,"-32.0, 124.0",Shire Of Dundas
13716,-15.0119,127.5311,"-15.0, 128.0",Shire Of Wyndham-East Kimberley
13746,-28.115,140.1994,"-28.0, 140.0",Gidgealpa
13902,-23.1921,129.5436,"-23.0, 130.0",Northern Territory
13964,-15.4855,135.5456,"-15.0, 136.0",
13981,-16.1414,131.9751,"-16.0, 132.0",Northern Territory
13989,-32.5273,123.5085,"-33.0, 124.0",Shire Of Esperance
13990,-32.5326,123.4837,"-33.0, 123.0",Shire Of Esperance
13996,-32.4877,123.4964,"-32.0, 123.0",Shire Of Dundas
14128,-22.2731,150.5245,"-22.0, 151.0",
14149,-31.8623,132.1165,"-32.0, 132.0",
14297,-43.0897,146.8878,"-43.0, 147.0",Huon Valley
14428,-19.3292,122.6495,"-19.0, 123.0",Shire Of Broome
14459,-16.8711,123.8562,"-17.0, 124.0",Meda
14597,-21.7366,121.8365,"-22.0, 122.0",Shire Of East Pilbara
14608,-33.5873,121.041,"-34.0, 121.0",
15007,-33.5596,136.8464,"-34.0, 137.0",
15045,-31.9134,133.4888,"-32.0, 133.0",Penong
15207,-12.2815,131.4087,"-12.0, 131.0",Northern Territory
15216,-25.9763,125.3912,"-26.0, 125.0",Shire Of Ngaanyatjarraku
15697,-33.568000000000005,120.109,"-34.0, 120.0",Shire Of Ravensthorpe
15761,-25.3367,132.7965,"-25.0, 133.0",Northern Territory
15824,-24.2816,128.7255,"-24.0, 129.0",Shire Of Ngaanyatjarraku
