,latitude,longitude,brightness,acq_date,confidence,bright_t31,type,Location,latlong
0,-15.8931,136.6094,324.4,1/01/2015,28,302.3,0,test,"-15.9, 136.6"
29,-31.9887,115.9483,326.2,1/01/2015,58,307.0,2,Perth,"-32.0, 115.9"
30,-32.0663,115.9202,325.5,1/01/2015,45,307.7,2,Perth,"-32.1, 115.9"
31,-31.8603,115.9087,324.5,1/01/2015,49,307.4,2,Perth,"-31.9, 115.9"
32,-31.7952,115.8318,324.1,1/01/2015,35,307.7,2,Perth,"-31.8, 115.8"
52,-20.5424,143.615,330.8,1/01/2015,28,304.0,0,Richmond,"-20.5, 143.6"
123,-33.7745,150.9525,322.5,2/01/2015,73,302.4,2,Sydney,"-33.8, 151.0"
172,-34.7548,138.7946,410.6,2/01/2015,100,328.2,0,Adelaide,"-34.8, 138.8"
300,-34.8616,138.8087,334.4,3/01/2015,82,303.0,0,Adelaide,"-34.9, 138.8"
419,-31.8656,115.8055,319.6,3/01/2015,20,302.3,2,Perth,"-31.9, 115.8"
422,-33.8218,150.7899,325.3,3/01/2015,34,306.6,0,Sydney,"-33.8, 150.8"
623,-32.8259,151.7227,321.4,4/01/2015,0,306.5,2,Newcastle,"-32.8, 151.7"
624,-34.4583,150.8844,326.8,4/01/2015,60,304.2,2,Wollongong,"-34.5, 150.9"
685,-37.8118,144.8233,320.3,4/01/2015,42,304.1,2,Melbourne,"-37.8, 144.8"
687,-37.9528,145.0699,319.9,4/01/2015,40,305.0,2,Melbourne,"-38.0, 145.1"
1902,-33.949,151.2099,303.4,7/01/2015,55,291.8,2,Sydney,"-33.9, 151.2"
2231,-27.3658,153.0588,321.7,9/01/2015,42,302.3,2,Brisbane,"-27.4, 153.1"
2232,-27.3133,152.9788,321.6,9/01/2015,45,301.3,2,Brisbane,"-27.3, 153.0"
2383,-32.0372,115.9997,318.3,10/01/2015,28,303.6,2,Perth,"-32.0, 116.0"
2808,-37.9455,145.075,314.7,16/01/2015,49,299.0,2,Melbourne,"-37.9, 145.1"
2843,-29.0329,149.5063,305.8,16/01/2015,66,292.0,0,Moree,"-29.0, 149.5"
2938,-29.3667,149.5169,336.9,18/01/2015,77,319.1,0,Moree,"-29.4, 149.5"
2947,-32.8099,151.6348,315.8,18/01/2015,40,299.6,0,Newcastle,"-32.8, 151.6"
2949,-33.7541,150.9043,321.9,18/01/2015,68,307.3,2,Sydney,"-33.8, 150.9"
2952,-33.9407,150.9325,324.0,18/01/2015,56,309.3,2,Sydney,"-33.9, 150.9"
2954,-34.0395,150.7611,321.0,18/01/2015,53,307.7,2,Sydney,"-34.0, 150.8"
3064,-29.5871,149.5527,306.8,19/01/2015,69,295.9,0,Moree,"-29.6, 149.6"
3329,-31.6955,145.9237,333.2,22/01/2015,32,308.8,0,Cobar,"-31.7, 145.9"
5223,-33.9408,151.0009,314.5,3/02/2015,25,299.5,2,Sydney,"-33.9, 151.0"
7024,-29.2085,149.5305,319.7,6/02/2015,99,294.6,0,Moree,"-29.2, 149.5"
8267,-29.2242,150.1917,306.5,11/02/2015,68,292.9,0,Moree,"-29.2, 150.2"
8485,-29.1713,149.6264,331.7,13/02/2015,52,307.2,0,Moree,"-29.2, 149.6"
9592,-34.9131,147.4424,344.7,23/02/2015,82,312.2,0,WaggaWagga,"-34.9, 147.4"
9599,-35.2443,147.0311,336.9,23/02/2015,80,317.2,0,WaggaWagga,"-35.2, 147.0"
9917,-35.0953,146.8557,328.7,26/02/2015,70,310.7,0,WaggaWagga,"-35.1, 146.9"
9924,-35.3159,146.7841,334.1,26/02/2015,81,309.5,0,WaggaWagga,"-35.3, 146.8"
10019,-35.1023,146.8361,336.0,27/02/2015,81,314.6,0,WaggaWagga,"-35.1, 146.8"
10020,-34.8439,147.7217,328.7,27/02/2015,51,311.4,0,WaggaWagga,"-34.8, 147.7"
10111,-35.2278,147.0659,333.9,28/02/2015,75,317.8,0,WaggaWagga,"-35.2, 147.1"
10224,-34.9762,147.4537,330.6,2/03/2015,69,316.4,0,WaggaWagga,"-35.0, 147.5"
10235,-35.2084,147.4323,361.5,2/03/2015,100,317.4,0,WaggaWagga,"-35.2, 147.4"
10465,-34.8827,147.7398,359.3,4/03/2015,99,316.6,0,WaggaWagga,"-34.9, 147.7"
11115,-34.8604,147.5165,368.5,7/03/2015,100,308.1,0,WaggaWagga,"-34.9, 147.5"
11344,-33.9067,150.5967,359.8,8/03/2015,89,300.4,0,Sydney,"-33.9, 150.6"
11666,-35.1983,147.4645,349.3,9/03/2015,93,312.6,0,WaggaWagga,"-35.2, 147.5"
11706,-35.1288,147.1674,328.0,9/03/2015,67,311.9,0,WaggaWagga,"-35.1, 147.2"
11985,-31.2612,145.55700000000002,326.1,10/03/2015,62,310.9,0,Cobar,"-31.3, 145.6"
12005,-37.7422,144.8461,320.7,10/03/2015,75,298.6,2,Melbourne,"-37.7, 144.8"
12132,-35.4226,146.8711,328.1,10/03/2015,74,305.4,0,WaggaWagga,"-35.4, 146.9"
12168,-35.4337,146.8278,326.5,10/03/2015,71,306.3,0,WaggaWagga,"-35.4, 146.8"
12636,-35.5219,146.7912,328.9,11/03/2015,71,314.7,0,WaggaWagga,"-35.5, 146.8"
12700,-34.8769,147.7551,341.0,11/03/2015,87,314.7,0,WaggaWagga,"-34.9, 147.8"
13565,-35.3645,147.0096,330.1,13/03/2015,74,306.1,0,WaggaWagga,"-35.4, 147.0"
13569,-35.5158,146.945,331.0,13/03/2015,79,307.8,0,WaggaWagga,"-35.5, 146.9"
13576,-35.5141,146.9606,331.3,13/03/2015,71,308.6,0,WaggaWagga,"-35.5, 147.0"
13584,-34.9155,147.2426,352.6,13/03/2015,96,307.8,0,WaggaWagga,"-34.9, 147.2"
14077,-35.0109,138.5761,316.1,15/03/2015,58,297.9,2,Adelaide,"-35.0, 138.6"
14103,-36.0255,146.9617,316.6,15/03/2015,65,306.3,0,Albury,"-36.0, 147.0"
14105,-36.0251,146.9436,318.9,15/03/2015,70,305.4,0,Albury,"-36.0, 146.9"
14312,-35.3311,146.8973,325.2,16/03/2015,78,297.9,0,WaggaWagga,"-35.3, 146.9"
14729,-32.7685,151.9124,304.8,17/03/2015,62,287.2,0,Newcastle,"-32.8, 151.9"
14960,-35.2446,146.8658,325.8,18/03/2015,67,309.7,0,WaggaWagga,"-35.2, 146.9"
14964,-35.1861,147.2045,337.4,18/03/2015,84,310.7,0,WaggaWagga,"-35.2, 147.2"
14966,-34.9698,147.3089,325.8,18/03/2015,66,310.6,0,WaggaWagga,"-35.0, 147.3"
14972,-35.0166,147.359,330.3,18/03/2015,75,310.4,0,WaggaWagga,"-35.0, 147.4"
15251,-35.1512,146.8186,325.5,19/03/2015,70,306.3,0,WaggaWagga,"-35.2, 146.8"
17628,-35.27,147.2093,321.1,24/03/2015,73,296.1,0,WaggaWagga,"-35.3, 147.2"
17890,-29.3623,149.5816,320.5,25/03/2015,64,305.8,0,Moree,"-29.4, 149.6"
18520,-34.9608,146.945,308.1,26/03/2015,53,295.7,0,WaggaWagga,"-35.0, 146.9"
18869,-35.041,146.9683,315.3,27/03/2015,13,295.1,0,WaggaWagga,"-35.0, 147.0"
19185,-34.9751,146.8327,319.7,28/03/2015,69,305.3,0,WaggaWagga,"-35.0, 146.8"
19190,-34.8499,147.5381,336.3,28/03/2015,87,307.2,0,WaggaWagga,"-34.8, 147.5"
20037,-37.4987,143.8961,311.3,30/03/2015,61,290.2,0,Ballarat,"-37.5, 143.9"
20474,-35.9351,146.9675,323.2,30/03/2015,73,305.9,0,Albury,"-35.9, 147.0"
20504,-35.9398,147.0658,321.3,30/03/2015,59,306.3,0,Albury,"-35.9, 147.1"
21317,-34.5754,138.4589,320.3,31/03/2015,63,308.5,0,Adelaide,"-34.6, 138.5"
21330,-34.759,138.7233,325.7,31/03/2015,74,304.1,2,Adelaide,"-34.8, 138.7"
21332,-34.7648,138.5891,340.7,31/03/2015,77,305.3,2,Adelaide,"-34.8, 138.6"
21601,-35.2507,147.4836,329.6,31/03/2015,80,305.2,0,WaggaWagga,"-35.3, 147.5"
21681,-34.8929,147.591,327.3,31/03/2015,76,304.7,0,WaggaWagga,"-34.9, 147.6"
21712,-35.129,147.09,323.6,31/03/2015,70,305.9,0,WaggaWagga,"-35.1, 147.1"
21741,-37.4972,143.7022,312.4,31/03/2015,0,296.3,0,Ballarat,"-37.5, 143.7"
22069,-35.0032,147.1406,315.6,1/04/2015,60,301.4,0,WaggaWagga,"-35.0, 147.1"
22316,-35.0279,147.9164,332.6,1/04/2015,86,295.0,0,WaggaWagga,"-35.0, 147.9"
23457,-35.2063,147.2685,342.7,3/04/2015,90,306.4,0,WaggaWagga,"-35.2, 147.3"
23465,-35.5064,147.2276,324.4,3/04/2015,77,308.6,0,WaggaWagga,"-35.5, 147.2"
23480,-35.009,147.7946,343.7,3/04/2015,91,307.1,0,WaggaWagga,"-35.0, 147.8"
25518,-34.8969,146.8486,302.2,8/04/2015,51,289.1,0,WaggaWagga,"-34.9, 146.8"
25520,-34.9479,146.8719,301.2,8/04/2015,46,288.4,0,WaggaWagga,"-34.9, 146.9"
25781,-34.9388,146.9896,313.1,8/04/2015,73,293.3,0,WaggaWagga,"-34.9, 147.0"
27437,-37.4506,143.7828,312.3,10/04/2015,65,301.0,0,Ballarat,"-37.5, 143.8"
27576,-35.474000000000004,147.1044,320.9,10/04/2015,73,300.9,0,WaggaWagga,"-35.5, 147.1"
27587,-35.3568,147.386,356.8,10/04/2015,98,303.0,0,WaggaWagga,"-35.4, 147.4"
27597,-35.1025,147.6963,314.9,10/04/2015,61,300.7,0,WaggaWagga,"-35.1, 147.7"
28095,-29.5146,149.9605,312.5,11/04/2015,42,297.3,0,Moree,"-29.5, 150.0"
29300,-35.1254,147.906,320.0,13/04/2015,70,297.8,0,WaggaWagga,"-35.1, 147.9"
29303,-35.4982,147.7907,310.3,13/04/2015,49,299.0,0,WaggaWagga,"-35.5, 147.8"
29753,-35.118,147.561,314.5,13/04/2015,65,298.7,0,WaggaWagga,"-35.1, 147.6"
30338,-34.9019,147.3324,346.8,14/04/2015,94,299.2,0,WaggaWagga,"-34.9, 147.3"
30364,-34.9648,147.2002,314.9,14/04/2015,40,298.3,0,WaggaWagga,"-35.0, 147.2"
30925,-35.0706,147.4583,327.5,15/04/2015,81,295.9,0,WaggaWagga,"-35.1, 147.5"
30949,-35.0747,147.4379,324.5,15/04/2015,79,295.7,0,WaggaWagga,"-35.1, 147.4"
31247,-34.6313,138.8095,353.0,15/04/2015,96,302.6,0,Adelaide,"-34.6, 138.8"
31921,-35.2969,147.02700000000002,318.3,16/04/2015,69,302.4,0,WaggaWagga,"-35.3, 147.0"
31942,-35.3408,147.2651,314.1,16/04/2015,21,299.4,0,WaggaWagga,"-35.3, 147.3"
31945,-35.295,147.0504,363.1,16/04/2015,100,304.0,0,WaggaWagga,"-35.3, 147.1"
31948,-34.9048,147.0954,324.2,16/04/2015,78,300.0,0,WaggaWagga,"-34.9, 147.1"
31972,-35.1653,147.8039,318.9,16/04/2015,73,301.7,0,WaggaWagga,"-35.2, 147.8"
31992,-35.4484,147.2218,319.4,16/04/2015,74,298.8,0,WaggaWagga,"-35.4, 147.2"
37229,-35.0766,138.7239,301.4,22/04/2015,37,286.2,0,Adelaide,"-35.1, 138.7"
38365,-34.9981,147.6035,309.6,23/04/2015,57,293.5,0,WaggaWagga,"-35.0, 147.6"
40252,-34.0532,115.0767,307.3,25/04/2015,61,289.7,0,Witchcliffe,"-34.1, 115.1"
40253,-34.0393,115.109,308.0,25/04/2015,66,289.1,0,Witchcliffe,"-34.0, 115.1"
43873,-34.9753,147.7345,336.9,28/04/2015,90,295.1,0,WaggaWagga,"-35.0, 147.7"
45256,-35.4496,147.0607,307.5,29/04/2015,61,291.4,0,WaggaWagga,"-35.4, 147.1"
45263,-35.4875,147.6351,321.3,29/04/2015,81,291.3,0,WaggaWagga,"-35.5, 147.6"
50874,-31.5809,146.0132,317.4,3/05/2015,74,295.7,0,Cobar,"-31.6, 146.0"
51521,-35.4853,147.2681,317.0,3/05/2015,74,298.3,0,WaggaWagga,"-35.5, 147.3"
55756,-29.4681,150.2125,300.0,6/05/2015,11,281.4,0,Moree,"-29.5, 150.2"
59513,-35.4915,149.1324,312.2,9/05/2015,63,285.5,0,Tuggeranong,"-35.5, 149.1"
59595,-19.3371,146.8633,321.0,9/05/2015,62,307.8,0,Townsville,"-19.3, 146.9"
60582,-31.436999999999998,145.9046,302.7,10/05/2015,42,291.5,0,Cobar,"-31.4, 145.9"
63709,-35.1873,138.6786,313.7,12/05/2015,74,281.8,0,Adelaide,"-35.2, 138.7"
63711,-31.25,145.6595,310.9,12/05/2015,69,298.4,0,Cobar,"-31.2, 145.7"
64599,-34.2235,142.1257,300.7,13/05/2015,40,285.0,0,Mildura,"-34.2, 142.1"
66116,-34.9634,118.0341,326.3,13/05/2015,79,290.6,0,Albany,"-35.0, 118.0"
70596,-34.8253,147.2982,307.5,16/05/2015,61,297.4,0,WaggaWagga,"-34.8, 147.3"
71242,-35.4915,149.1533,305.7,17/05/2015,62,285.0,0,Tuggeranong,"-35.5, 149.2"
71655,-35.2202,147.6249,322.3,17/05/2015,78,293.1,0,WaggaWagga,"-35.2, 147.6"
73040,-29.5854,150.2267,318.2,18/05/2015,74,298.5,0,Moree,"-29.6, 150.2"
73598,-19.2143,146.7561,302.6,18/05/2015,35,289.9,0,Townsville,"-19.2, 146.8"
73915,-19.1972,146.746,326.2,19/05/2015,0,295.8,0,Townsville,"-19.2, 146.7"
77203,-35.2174,147.6641,306.5,24/05/2015,64,285.8,0,WaggaWagga,"-35.2, 147.7"
78061,-35.1872,138.5873,301.4,25/05/2015,47,288.5,0,Adelaide,"-35.2, 138.6"
78456,-35.5324,147.7146,314.5,26/05/2015,75,282.8,0,WaggaWagga,"-35.5, 147.7"
80443,-34.7356,138.5723,300.9,29/05/2015,0,287.8,2,Adelaide,"-34.7, 138.6"
80872,-27.3286,152.9485,307.1,29/05/2015,60,292.3,0,Brisbane,"-27.3, 152.9"
81470,-28.9079,149.9734,300.9,1/06/2015,18,289.2,0,Moree,"-28.9, 150.0"
81588,-19.3637,146.8112,306.9,2/06/2015,19,292.0,0,Townsville,"-19.4, 146.8"
84138,-27.4132,152.8874,320.7,5/06/2015,80,290.8,0,Brisbane,"-27.4, 152.9"
85202,-19.3617,146.6815,331.9,6/06/2015,83,305.2,0,Townsville,"-19.4, 146.7"
87155,-35.418,147.4712,300.7,10/06/2015,40,287.4,0,WaggaWagga,"-35.4, 147.5"
87366,-35.5024,147.5115,304.9,10/06/2015,62,273.7,0,WaggaWagga,"-35.5, 147.5"
88410,-29.6898,149.8999,309.3,15/06/2015,68,294.4,0,Moree,"-29.7, 149.9"
97305,-30.1699,153.1374,302.4,7/07/2015,52,288.1,0,CoffsHarbour,"-30.2, 153.1"
102851,-34.9371,117.9964,308.2,16/07/2015,58,284.1,0,Albany,"-34.9, 118.0"
104690,-19.2905,146.8171,318.2,19/07/2015,68,298.7,0,Townsville,"-19.3, 146.8"
111285,-33.7592,150.3608,334.3,1/08/2015,86,281.1,0,Sydney,"-33.8, 150.4"
111286,-33.7491,150.3641,314.7,1/08/2015,62,284.0,0,Sydney,"-33.7, 150.4"
112318,-33.7425,150.6991,300.8,4/08/2015,40,289.0,2,Penrith,"-33.7, 150.7"
114599,-34.0504,151.0054,302.9,8/08/2015,54,287.8,0,Sydney,"-34.1, 151.0"
114632,-27.4526,152.8885,307.1,8/08/2015,55,291.3,0,Brisbane,"-27.5, 152.9"
115252,-31.7193,145.4837,305.5,9/08/2015,57,292.8,0,Cobar,"-31.7, 145.5"
115847,-29.5765,149.5494,307.8,10/08/2015,39,297.5,0,Moree,"-29.6, 149.5"
116436,-19.2752,146.6774,320.3,11/08/2015,57,305.1,0,Townsville,"-19.3, 146.7"
118061,-27.4891,152.9629,303.7,14/08/2015,34,291.0,0,Brisbane,"-27.5, 153.0"
118389,-29.1512,149.3443,312.2,14/08/2015,70,296.4,0,Moree,"-29.2, 149.3"
119407,-33.6883,150.5337,300.2,15/08/2015,32,287.6,0,Sydney,"-33.7, 150.5"
119443,-29.1545,149.3511,316.0,15/08/2015,71,302.3,0,Moree,"-29.2, 149.4"
120235,-34.073,150.5711,310.1,16/08/2015,70,289.1,2,Sydney,"-34.1, 150.6"
121632,-27.9831,153.3323,309.8,17/08/2015,51,294.6,2,GoldCoast,"-28.0, 153.3"
122331,-28.1419,153.3893,302.4,17/08/2015,49,291.4,0,GoldCoast,"-28.1, 153.4"
